iter	RMSE
0	21.33171844
1	20.6566514
2	20.2140398
3	19.91727635
4	19.70801394
5	19.55783281
6	19.44625179
7	19.3630566
8	19.27796623
9	19.22948875
10	19.17758099
11	19.13854234
12	19.09013172
13	19.04428563
14	19.00394253
15	18.97160933
16	18.94800645
17	18.91481752
18	18.88480463
19	18.85830293
20	18.83669224
21	18.81356921
22	18.78022977
23	18.75955894
24	18.73253908
25	18.71738941
26	18.6911543
27	18.6760643
28	18.64961341
29	18.62432836
30	18.61156305
31	18.59342063
32	18.56762859
33	18.55041819
34	18.51091708
35	18.48218982
36	18.46603702
37	18.45172218
38	18.43947543
39	18.41666793
40	18.40514779
41	18.38705474
42	18.36353657
43	18.35177256
44	18.33538392
45	18.31864337
46	18.2931428
47	18.27981884
48	18.26030785
49	18.24245694
50	18.22285239
51	18.20247358
52	18.18615169
53	18.16191496
54	18.12837027
55	18.10908632
56	18.08311637
57	18.0700259
58	18.05086504
59	18.02857149
60	18.00355412
61	17.99369209
62	17.97326031
63	17.96064932
64	17.94806662
65	17.92877167
66	17.91530872
67	17.90131941
68	17.88540416
69	17.86469165
70	17.84597194
71	17.82622995
72	17.81506489
73	17.79905533
74	17.7843464
75	17.77293131
76	17.74424463
77	17.7110492
78	17.69796495
79	17.68646212
80	17.66916725
81	17.65511078
82	17.64699153
83	17.63294099
84	17.61488767
85	17.59308898
86	17.578913
87	17.56835408
88	17.55533715
89	17.54383164
90	17.52488355
91	17.51175644
92	17.49929006
93	17.48262647
94	17.46517041
95	17.44494292
96	17.43124747
97	17.41335847
98	17.40056543
99	17.38931438
100	17.37387817
101	17.35886817
102	17.34227994
103	17.3310912
104	17.31832218
105	17.30649444
106	17.2966211
107	17.27911722
108	17.26857833
109	17.2605057
110	17.24304649
111	17.22916007
112	17.21521314
113	17.2060572
114	17.18755552
115	17.17606082
116	17.16144579
117	17.1466092
118	17.13762321
119	17.12450938
120	17.10413793
121	17.09074883
122	17.07388249
123	17.05940275
124	17.04888599
125	17.03869786
126	17.02775469
127	17.01652525
128	16.99498965
129	16.98038039
130	16.96836525
131	16.95248619
132	16.94092052
133	16.92242009
134	16.90337921
135	16.88927777
136	16.87517169
137	16.86852996
138	16.85552413
139	16.84111078
140	16.8344527
141	16.81481847
142	16.80038689
143	16.78685053
144	16.77442818
145	16.7639319
146	16.75338454
147	16.73526782
148	16.72332162
149	16.71087209
150	16.70390948
151	16.69527661
152	16.67663078
153	16.66602038
154	16.65075408
155	16.64415222
156	16.63744931
157	16.62612075
158	16.61681411
159	16.61173045
160	16.598848
161	16.58816304
162	16.57784161
163	16.56530619
164	16.55297378
165	16.53943011
166	16.52741909
167	16.51692187
168	16.50984204
169	16.49934079
170	16.48710775
171	16.4740979
172	16.46163213
173	16.45138009
174	16.4403348
175	16.43231179
176	16.4203453
177	16.40631369
178	16.39372664
179	16.38304246
180	16.37191902
181	16.36694976
182	16.36039043
183	16.34940175
184	16.34179498
185	16.33015293
186	16.3256675
187	16.31511374
188	16.30486887
189	16.29097605
190	16.28118227
191	16.26720671
192	16.25922372
193	16.24923127
194	16.24283125
195	16.22727478
196	16.22321845
197	16.21490767
198	16.20372705
199	16.19136728
200	16.17823515
201	16.16742457
202	16.15730607
203	16.1510108
204	16.14275591
205	16.13365185
206	16.12424323
207	16.10688593
208	16.09669445
209	16.08835487
210	16.07979481
211	16.07274356
212	16.0632932
213	16.05793776
214	16.05166348
215	16.0411524
216	16.03254662
217	16.02272369
218	16.01586709
219	16.00253617
220	15.99063991
221	15.98103934
222	15.97618898
223	15.96718851
224	15.96125356
225	15.95209261
226	15.94177101
227	15.93112404
228	15.92022312
229	15.91097782
230	15.89971285
231	15.8926351
232	15.88389776
233	15.87840587
234	15.86918329
235	15.85979411
236	15.84979786
237	15.8377795
238	15.82763508
239	15.81943721
240	15.81429994
241	15.80562079
242	15.79632555
243	15.78415404
244	15.77544557
245	15.76784303
246	15.75987729
247	15.75437028
248	15.74332148
249	15.73609839
250	15.72862106
251	15.72097387
252	15.70930618
253	15.6998166
254	15.695143
255	15.68458238
256	15.68014492
257	15.67056523
258	15.66411829
259	15.65484017
260	15.6425492
261	15.63573763
262	15.62743865
263	15.6179778
264	15.6101777
265	15.60049539
266	15.59345152
267	15.58875485
268	15.57734402
269	15.57201924
270	15.56511
271	15.55834428
272	15.55007574
273	15.54417381
274	15.53626282
275	15.52843983
276	15.52060473
277	15.51100234
278	15.50635488
279	15.50106724
280	15.49299879
281	15.48503039
282	15.4766937
283	15.4665941
284	15.46228517
285	15.45808773
286	15.44953595
287	15.44334803
288	15.4347904
289	15.42822472
290	15.41994068
291	15.41300889
292	15.40540897
293	15.39747211
294	15.38565469
295	15.38038969
296	15.37505979
297	15.36584416
298	15.35904836
299	15.34670259
300	15.3411003
301	15.33294053
302	15.32306856
303	15.31190219
304	15.30071587
305	15.29447465
306	15.28727352
307	15.28216073
308	15.27397801
309	15.26611418
310	15.25655009
311	15.25128761
312	15.24740428
313	15.2429358
314	15.23481721
315	15.22664354
316	15.21975047
317	15.21032821
318	15.20045325
319	15.1927464
320	15.18556031
321	15.18099163
322	15.17260516
323	15.16332496
324	15.15563019
325	15.14667956
326	15.14026342
327	15.13484199
328	15.12710078
329	15.12164388
330	15.1153882
331	15.10181857
332	15.09446545
333	15.08770021
334	15.07892899
335	15.0666997
336	15.06012178
337	15.0528486
338	15.04540802
339	15.03719672
340	15.02912956
341	15.0221528
342	15.01337516
343	15.00904851
344	15.00326903
345	14.99922727
346	14.99245633
347	14.98396589
348	14.97708404
349	14.96765383
350	14.9628719
351	14.95752274
352	14.95148197
353	14.94574578
354	14.94000756
355	14.93478735
356	14.92609426
357	14.9209559
358	14.91018776
359	14.90343659
360	14.89524041
361	14.8877711
362	14.8787333
363	14.87237945
364	14.86767425
365	14.8630284
366	14.85505082
367	14.84618652
368	14.83695702
369	14.83014942
370	14.8244778
371	14.82183856
372	14.8133985
373	14.80500708
374	14.7985366
375	14.79573034
376	14.79055857
377	14.77934272
378	14.77190807
379	14.76483853
380	14.76166694
381	14.75221321
382	14.74727909
383	14.74128632
384	14.73602733
385	14.73145479
386	14.72512373
387	14.71649688
388	14.70798558
389	14.70269175
390	14.6955707
391	14.69221228
392	14.68912776
393	14.68389224
394	14.67688826
395	14.67019774
396	14.66349868
397	14.65881726
398	14.65367529
399	14.64880499
400	14.64109089
401	14.63599909
402	14.62805633
403	14.61686261
404	14.61237923
405	14.60094649
406	14.59412483
407	14.58792268
408	14.58350895
409	14.57585374
410	14.57051615
411	14.56438277
412	14.55965649
413	14.55204547
414	14.5419579
415	14.53291637
416	14.52683233
417	14.52073361
418	14.51560133
419	14.51055431
420	14.50763177
421	14.50228962
422	14.49814172
423	14.49281737
424	14.48974306
425	14.48601687
426	14.47705085
427	14.47024037
428	14.46588399
429	14.46007657
430	14.45195678
431	14.44466217
432	14.43584866
433	14.43048622
434	14.423814
435	14.41761587
436	14.41267898
437	14.40540036
438	14.39878147
439	14.39038321
440	14.38306823
441	14.37518077
442	14.36886707
443	14.36263842
444	14.35288644
445	14.34933572
446	14.34400626
447	14.34058957
448	14.33215141
449	14.32596741
450	14.31615483
